Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
47,2368.8,47,0.010546074502907786,0.004451297850954673,0.0025988270495256732,0.0016856014636719551,0.0012252147815040592,16.204523555621957,468815.5,409113.08,0.845441948732984,0.8434536340852129,16.204523555621957,0.9010996056671026,16.204523555621957,0.8869176108935338,76662073.42,0.2860624212274257
46,2318.4,46,0.01066093254185321,0.004499564973154714,0.002636698939530004,0.001741769875669449,0.001273435186704282,16.21135754305348,468950.54,409122.96,0.8459593527308726,0.8436795560329393,16.21135754305348,0.9060683530543439,16.21135754305348,0.8901472980637612,76407534.8,0.2860624212274257
45,2268,45,0.010509712866364198,0.004321244403636594,0.002506856559507918,0.0017134711614796721,0.001282011792476478,16.211844651892093,468633.02,409072.72,0.8453989422490874,0.8431126029359115,16.211844651892093,0.9017349382263424,16.211844651892093,0.8900444269436263,75056223.66,0.2860624212274257
44,2217.6,44,0.009997413385894724,0.004283245122721691,0.002483147011240382,0.001677916254773358,0.0012307081337833894,16.202129516484284,468568.76,408985.38,0.844779962836433,0.8430084138918723,16.202129516484284,0.8997771267300676,16.20212951648429,0.883772638802248,74808704.32,0.2860624212274257
43,2167.2,43,0.010066582168961417,0.004235381039969216,0.002527296826313308,0.001656171928957084,0.0012060089921020057,16.196431693982184,468455.02,409023.38,0.844352902226364,0.8427903687790905,16.196431693982184,0.899266538007413,16.19643169398219,0.883316785569637,74234405.62,0.2860624212274257
42,2116.8,42,0.009930369687813155,0.004115719064429627,0.0024274754639304875,0.0016439608776927543,0.0012098280141876676,16.187150735106457,468187.16,409066.7,0.843475938040582,0.842307948442535,16.187150735106457,0.8960915281976866,16.18715073510646,0.8826711097956452,73691663.32,0.2860624212274257
41,2066.4,41,0.009827879990823522,0.004200493711674591,0.002414360183295704,0.0016772903969905501,0.0012066528264105315,16.190991001877443,468434.48,408972.24,0.843997022895494,0.8427474758324387,16.190991001877443,0.8929526185244293,16.190991001877443,0.8817814219761969,73839518.24,0.2860624212274257
40,2016,40,0.009574995466807108,0.0040241336026491156,0.0023713624752283897,0.0016047896481294107,0.0011669104676199692,16.18259873252242,467814.14,409002.78,0.8426161060790333,0.8416277121374865,16.18259873252242,0.8903406615105942,16.182598732522422,0.8782582783455899,72810140.76,0.2860624212274257
39,1965.6,39,0.00932325290133753,0.0038557327834679617,0.0022548072650188144,0.0015565288210986348,0.0011137920516462846,16.17642787939876,467326.5,408898.16,0.841641572117011,0.8407449337629791,16.17642787939876,0.8831704972613297,16.176427879398762,0.8731197487621669,71813578.32,0.2860624212274257
38,1915.2,38,0.009535146993222795,0.003947605247446795,0.0023491883043730197,0.0015622978569250123,0.0011663820106818444,16.172717149549605,467260.68,408956.72,0.8412791971560997,0.8406234156820624,16.172717149549605,0.8792005942035516,16.172717149549605,0.8689466133737634,71595781.96,0.2860624212274257
37,1864.8,37,0.009564112481156503,0.004013249217744482,0.0023678791487002247,0.0016148312896826686,0.0011896615544597412,16.160120436579472,467247.7,408866.06,0.8405745566222798,0.8405911564625849,16.160120436579472,0.8764604273247265,16.160120436579476,0.867381384489913,72075835.14,0.2860624212274257
36,1814.4,36,0.009541595617972522,0.004004060695496403,0.0023467857052817463,0.001555334115429412,0.0011329216843688169,16.15493771801214,466830.34,408956.06,0.8396036764521554,0.8398230218403152,16.15493771801214,0.8777584126981713,16.154937718012143,0.8687795532431819,71158431,0.2860624212274257
35,1764,35,0.009789533293643179,0.00402631330042198,0.0024081065040527875,0.001638426443467735,0.0011736909424545788,16.16201942644152,466857.82,408832.22,0.8400410218097896,0.839858395989975,16.16201942644152,0.8843467237051625,16.16201942644152,0.8763137038485287,71316608.48,0.2860624212274257
34,1713.6,34,0.009461219401941206,0.003979844340961875,0.0023271936220949966,0.0015576260485829314,0.001145340853528813,16.15929384324035,466676.56,408854.04,0.8395532811890877,0.8395216970998927,16.15929384324035,0.8896501675956872,16.15929384324035,0.8775171177798192,70721080.94,0.2860624212274257
33,1663.2,33,0.009882685681425236,0.004117325946972128,0.00237115123048074,0.0016135917385839218,0.0011737327005518754,16.162496308383613,466705.68,408903.1,0.8398114283529664,0.8395845685642679,16.162496308383613,0.8913621259422113,16.162496308383613,0.880017561508152,70903480.04,0.2860624212274257
32,1612.8,32,0.00967818303807643,0.004025188944174639,0.002345049585180198,0.001614328982334034,0.0011554085090576672,16.152710877531277,466634.66,408885.5,0.8391690376070389,0.8394510204081632,16.152710877531277,0.8907656365544493,16.152710877531277,0.8810058532827034,70610543.64,0.2858074983725226
31,1562.4,31,0.00966033155776359,0.0039390300927131874,0.00230734129993392,0.001557415279101394,0.0011310580437219545,16.147718655495783,466677.38,408791.76,0.8390683012111535,0.8395212316505549,16.147718655495783,0.8922810633478955,16.147718655495787,0.8768191167692245,70943533.7,0.2855525755176196
30,1512,30,0.009477874696694883,0.0038889531583307176,0.0022927743989222455,0.0015590355647962851,0.0011413378903602457,16.149322620748862,466619.6,408775.54,0.8388777897950768,0.8394070891514498,16.149322620748862,0.8943245155883788,16.149322620748862,0.8811106741003583,70354753.92,0.28427796124310434
29,1461.6,29,0.008863181433910506,0.003727114991910435,0.0022301399657200125,0.0014846753383563425,0.001106806490136065,16.13586353236202,466481.18,408605.98,0.8381110077338646,0.8391546007876838,16.13586353236202,0.8932795862807987,16.135863532362023,0.879119692593002,70169004,0.2801991955646555
